mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index
6207,gdb_6264,[H]C#CC(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6208,gdb_6265,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)C#N,C1,1,1,0.6900000000000001,pymatgen,4.91
6209,gdb_6266,[H]C#CC(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
6210,gdb_6267,[H]C([H])([H])[NH+](C([H])([H])[H])C([H])([H])C(=O)C#N,Cs,2,1,0.73,pymatgen,5.09
6211,gdb_6268,[H]C(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
6212,gdb_6269,[H]/N=C(\C([H])=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
6213,gdb_6270,[H]C(=O)C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6214,gdb_6271,[H]C(=O)C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6215,gdb_6272,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])=O,C1,1,1,0.6900000000000001,pymatgen,5.0
6216,gdb_6273,[H]C(=O)C(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
6217,gdb_6274,[H]C#C[C@]([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6218,gdb_6275,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6219,gdb_6276,[H]N([H])[C@@]([H])(C#N)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6220,gdb_6277,[H]C#C[C@]([H])(O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6221,gdb_6278,[H]O[C@@]([H])(C#N)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6222,gdb_6279,[H]N(C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6223,gdb_6280,[H]C#C[C@@]([H])(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6224,gdb_6281,[H]C([H])([H])C([H])(O[C@]([H])(C#N)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6225,gdb_6282,[H]C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6226,gdb_6283,[H]C#C[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6227,gdb_6284,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6228,gdb_6285,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C#N)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6229,gdb_6286,[H]C#C[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6230,gdb_6287,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C#N)O[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6231,gdb_6288,[H]N([H])[C@@]([H])(C#N)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6232,gdb_6289,[H]O[C@@]([H])(C#N)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6233,gdb_6290,[H]C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6234,gdb_6291,[H]O[C@@]([H])(C([H])=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6235,gdb_6292,[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6236,gdb_6293,[H]C(=O)[C@@]([H])(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6237,gdb_6294,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6238,gdb_6295,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,5.17
6239,gdb_6296,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])N(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6240,gdb_6297,[H]C#C[C@]([H])(O[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6241,gdb_6298,[H]O[C@@]([H])(C#N)C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6242,gdb_6299,[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6243,gdb_6300,[H]C([H])([H])C(=O)C([H])([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6244,gdb_6301,[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6245,gdb_6302,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6246,gdb_6303,[H]C#C[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6247,gdb_6304,[H]N(C(=O)C([H])([H])[H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6248,gdb_6305,[H]C#C[C@]([H])(N([H])C(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6249,gdb_6306,[H]N([H])C(=O)N([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6250,gdb_6307,[H]C#C[C@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6251,gdb_6308,[H]C([H])([H])C(=O)O[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6252,gdb_6309,[H]C#C[C@]([H])(OC(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6253,gdb_6310,[H]N([H])C(=O)O[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
6254,gdb_6311,[H]C#C[C@]([H])(O[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6255,gdb_6312,[H]O[C@@]([H])(C#N)C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
6256,gdb_6313,[H]N([H])C(=O)C([H])([H])[C@@]([H])(C#N)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6257,gdb_6314,[H]C#C[C@@]([H])(N([H])[H])C([H])([H])C(=O)O[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6258,gdb_6315,[H]O[C@@]([H])(C([H])=O)C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6259,gdb_6316,[H]C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6260,gdb_6317,[H]C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6261,gdb_6318,[H]C(=O)[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6262,gdb_6319,[H]C(=O)[C@]([H])(N([H])C(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6263,gdb_6320,[H]C(=O)[C@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6264,gdb_6321,[H]C(=O)[C@]([H])(OC(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6265,gdb_6322,[H]C(=O)N(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6266,gdb_6323,[H]C(=O)N(C([H])([H])[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6267,gdb_6324,[H]N([H])[C@]1([H])OC(=O)C([H])([H])[N@@H+]1C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.59
6268,gdb_6325,[H]O[C@@]([H])(C([H])=O)C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6269,gdb_6326,[H]N(C(=O)C([H])([H])[H])/C(=N/C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6270,gdb_6327,[H]N([H])C(=O)N([H])/C(=N/C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6271,gdb_6328,[H]C([H])([H])[NH2+][C@H](OC(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6272,gdb_6329,[H]N([H])C(=O)OC([NH2+]C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6273,gdb_6330,O=C=O.[H][C-]([H])/C(N([H])[H])=[N+](\[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.5
6274,gdb_6331,[H]N([H])/C(=N\C([H])([H])[H])N([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6275,gdb_6332,[H]C([H])([H])[NH2+]C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6276,gdb_6333,[H]/N=C(\N([H])C(=O)C([H])([H])O[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
6277,gdb_6334,[H]OC([H])([H])C(=O)C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6278,gdb_6335,[H]/N=C(/N([H])C(=O)C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6279,gdb_6336,[H]N(C(=O)C([H])([H])[H])C(=O)C([H])([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6280,gdb_6337,[H]OC([H])([H])C(=O)N([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6281,gdb_6338,[H]/N=C(\N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6282,gdb_6339,[H]/N=C(\N([H])C(=O)N([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6283,gdb_6340,[H]C([H])([H])C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6284,gdb_6341,[H]N([H])C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6285,gdb_6342,[H]/N=C(/N([H])C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
6286,gdb_6343,[H]N(C(=O)C([H])([H])[H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6287,gdb_6344,[H]/N=C(\N([H])[H])N([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6288,gdb_6345,[H]N([H])C(=O)N([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6289,gdb_6346,O=C=O.[H][C-]([H])C(N([H])C([H])([H])[H])=[N+]([H])[H],Cs,2,1,0.73,pymatgen,4.5
6290,gdb_6347,[H]N(C(=O)C([H])([H])C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6291,gdb_6348,[H]N([H])C(=O)C([H])([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6292,gdb_6349,[H]/N=C(/N([H])C(=O)N([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6293,gdb_6350,[H]N(C(=O)N([H])C([H])([H])[H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6294,gdb_6351,[H]N([H])C(=O)N([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6295,gdb_6352,[H]/N=C(/OC([H])([H])[H])N([H])C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
6296,gdb_6353,[H]/N=C(/OC([H])([H])[H])N([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6297,gdb_6354,[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0
6298,gdb_6355,[H]N([H])C(=O)C([H])([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6299,gdb_6356,[H]/N=C(/N([H])C(=O)OC([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
6300,gdb_6357,[H]N(C(=O)OC([H])([H])[H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6301,gdb_6358,[H]/N=C(\N([H])[H])N([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6302,gdb_6359,[H]N([H])C(=O)N([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
6303,gdb_6360,[H]/N=C(\N([H])[H])N([H])C(=O)C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6304,gdb_6361,[H]OC([H])([H])C(=O)C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6305,gdb_6362,[H]/N=C(/N([H])C(=O)N([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6306,gdb_6363,[H]OC([H])([H])C(=O)N([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
6307,gdb_6364,[H]N([H])C(=O)N([H])C(=O)C([H])([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
6308,gdb_6365,[H]OC([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6309,gdb_6366,[H]OC([H])([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6310,gdb_6367,[H]N([H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6311,gdb_6368,[H]OC([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6312,gdb_6369,[H]OC([H])([H])C(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6313,gdb_6370,[H]C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6314,gdb_6371,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6315,gdb_6372,[H]N(C(=O)C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6316,gdb_6373,[H]C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6317,gdb_6374,[H]OC([H])([H])C(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6318,gdb_6375,[H]N(C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,2,2,0.73,pymatgen,5.39
6319,gdb_6376,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6320,gdb_6377,[H]N(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6321,gdb_6378,[H]N(C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6322,gdb_6379,[H]C([H])([H])OC(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6323,gdb_6380,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6324,gdb_6381,[H]C([H])([H])OC(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.32
6325,gdb_6382,[H]N(C(=O)OC([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6326,gdb_6383,[H]C([H])([H])OC([NH2+]C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6327,gdb_6384,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6328,gdb_6385,[H]OC(=O)C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6329,gdb_6386,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6330,gdb_6387,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6331,gdb_6388,[H]OC([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6332,gdb_6389,[H]OC([H])([H])[C@@]([H])(N([H])C(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6333,gdb_6390,[H]OC([H])([H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6334,gdb_6391,[H]OC([H])([H])[C@@]([H])(OC(=O)N([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6335,gdb_6392,[H]C([H])([H])C(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6336,gdb_6393,[H]N([H])C(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6337,gdb_6394,[H]N(C(=O)C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.39
6338,gdb_6395,[H]N([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6339,gdb_6396,[H]C([H])([H])C(=O)O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6340,gdb_6397,[H]N([H])C(=O)O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6341,gdb_6398,[H]OC(=O)C([H])([H])[C@]([H])(N([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6342,gdb_6399,[H]O[C@@]([H])(C([H])([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6343,gdb_6400,[H]O[C@@]([H])(C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6344,gdb_6401,[H]OC(=O)C([H])([H])[N@H+](C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6345,gdb_6402,[H]OC(=O)C([H])([H])[C@@]([H])(N([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6346,gdb_6403,[H]C([H])([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6347,gdb_6404,[H]N([H])C(=O)C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.25
6348,gdb_6405,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6349,gdb_6406,[H]OC(=O)C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6350,gdb_6407,[H]OC(=O)C([H])([H])[C@]([H])(N([H])[H])C([H])([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.17
6351,gdb_6408,[H]OC(=O)C([H])([H])[C@]([H])(O[H])C([H])([H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
6352,gdb_6409,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6353,gdb_6410,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6354,gdb_6411,[H]OC([H])([H])[C@@]([H])(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6355,gdb_6412,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6356,gdb_6413,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.32
6357,gdb_6414,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.7
6358,gdb_6415,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6359,gdb_6416,[H]C([H])([H])C([H])(O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6360,gdb_6417,[H]O[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6361,gdb_6418,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6362,gdb_6419,[H]C([H])([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.58
6363,gdb_6420,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.46
6364,gdb_6421,[H]C#C[C@@]1(C([H])([H])[H])OC([N-][H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.5
6365,gdb_6422,[H][N-]C1O[C@@](C#N)(C([H])([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
6366,gdb_6423,[H]C#CC1(C([H])([H])[H])C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,6.5
6367,gdb_6424,[H]C([H])([H])C1(C#N)C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,6.41
6368,gdb_6425,[H]C#C[C@@]1(C([H])([H])[H])N([H])C(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
6369,gdb_6426,[H]C#C[C@@]1(C([H])([H])[H])OC(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.31
6370,gdb_6427,[H]C([H])([H])[C@]1(C#N)OC(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
6371,gdb_6428,[H]C#CC1(O[H])C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,6.31
6372,gdb_6429,[H]OC1(C#N)C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,6.2
6373,gdb_6430,[H][N-]C1O[C@@](C([H])=O)(C([H])([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.5
6374,gdb_6431,[H]C(=O)C1(C([H])([H])[H])C([H])([H])C(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.5
6375,gdb_6432,[H]C(=O)[C@@]1(C([H])([H])[H])N([H])C(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
6376,gdb_6433,[H]C(=O)[C@@]1(C([H])([H])[H])OC(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.31
6377,gdb_6434,[H]OC1(C([H])=O)C([H])([H])C(=O)C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.31
6378,gdb_6435,[H]C#C[C@]1(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.67
6379,gdb_6436,[H]O[C@]1([H])C([H])([H])[C@](C#N)(C([H])([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.59
