mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index,source,success
1412,gdb_1420,[H]O[C@]([H])(C#N)C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1413,gdb_1421,[H]C(=O)C([H])([H])[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1414,gdb_1422,[H]C(=O)N([H])[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1415,gdb_1423,[H][N-][C+]([H])O[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1416,gdb_1424,[H]C(=O)O[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1417,gdb_1425,[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1418,gdb_1426,[H]O[C@]([H])(C([H])=O)C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1419,gdb_1427,[H]C(=O)N([H])/C(=N/C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1420,gdb_1428,[H]C(=O)OC([NH2+]C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1421,gdb_1429,[H]C(=O)N([H])/C(=N/C([H])([H])[H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1422,gdb_1430,[H]C(=O)N(/C([H])=N/C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1423,gdb_1431,[H]OC([H])([H])C(=O)C#CC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1424,gdb_1432,[H]C([H])([H])C#CC(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1425,gdb_1433,[H]N(C(=O)C#CC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1426,gdb_1434,[H]C([H])([H])C#CC(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1427,gdb_1435,[H]C#CC([H])([H])C(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1428,gdb_1436,[H]C([H])(C#N)C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1429,gdb_1437,[H]C#CC([H])([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1430,gdb_1438,[H]N(C(=O)C([H])([H])C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1431,gdb_1439,[H]C#CC([H])([H])C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1432,gdb_1440,[H]C([H])([H])OC(=O)C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1433,gdb_1441,[H]C#CC([H])([H])C(=O)C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1434,gdb_1442,[H]OC([H])([H])C(=O)C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1435,gdb_1443,[H]/N=C(\N([H])C([H])=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1436,gdb_1444,[H]C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1437,gdb_1445,[H]/N=C(\[H])N([H])C(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1438,gdb_1446,[H]C(=O)N([H])C(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1439,gdb_1447,[H][N-][C+]([H])OC(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1440,gdb_1448,[H]C(=O)C([H])([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1441,gdb_1449,[H]/N=C(\[H])N([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1442,gdb_1450,[H]C(=O)N([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1443,gdb_1451,[H][N-][C+]([H])OC(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1444,gdb_1452,[H]/N=C(/OC([H])([H])[H])N([H])C([H])=O,Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1445,gdb_1453,[H]C(=O)C([H])([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1446,gdb_1454,[H]/N=C(\[H])N([H])C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1447,gdb_1455,[H]C(=O)N([H])C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1448,gdb_1456,[H]C(=O)N([H])C(=O)C([H])([H])N([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1449,gdb_1457,[H][N-][C+]([H])OC(=O)C([H])([H])N([H])[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1450,gdb_1458,[H]/N=C(\N([H])C([H])=O)C([H])([H])O[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1451,gdb_1459,[H]OC([H])([H])C(=O)C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1452,gdb_1460,[H]/N=C(\[H])N([H])C(=O)C([H])([H])O[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1453,gdb_1461,[H]OC([H])([H])C(=O)N([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1454,gdb_1462,[H][N-][C+]([H])OC(=O)C([H])([H])O[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1455,gdb_1463,[H]OC([H])([H])[C@@]([H])(C#CC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1456,gdb_1464,[H]OC([H])([H])[C@@]([H])(C#CC([H])([H])[H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1457,gdb_1465,[H]C([H])([H])C#C[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1458,gdb_1466,[H]O[C@@]([H])(C#CC([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1459,gdb_1467,[H]C([H])([H])C#C[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1460,gdb_1468,[H]C#CC([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1461,gdb_1469,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1462,gdb_1470,[H]C#CC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1463,gdb_1471,[H]C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1464,gdb_1472,[H]C#CC([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1465,gdb_1473,[H]O[C@@]([H])(C([H])([H])C#N)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1466,gdb_1474,[H]C([H])([H])[N@@H+](C([H])([H])C#N)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1467,gdb_1475,[H]C#CC([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1468,gdb_1476,[H]C([H])([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1469,gdb_1477,[H]C#CC([H])([H])[C@]([H])(O[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1470,gdb_1478,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1471,gdb_1479,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1472,gdb_1480,[H]OC([H])([H])[C@@]([H])(N([H])C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1473,gdb_1481,[H][N-][C+]([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1474,gdb_1482,[H]OC([H])([H])[C@@]([H])(OC([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1475,gdb_1483,[H]C(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1476,gdb_1484,[H]C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1477,gdb_1485,[H]C(=O)O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1478,gdb_1486,[H]O[C@@]([H])(C([H])([H])C([H])=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1479,gdb_1487,[H]C(=O)C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1480,gdb_1488,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1481,gdb_1489,[H]N([H])/C(C#N)=N\C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1482,gdb_1490,[H]C(=O)/C(=N/C([H])([H])C([H])([H])[H])N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1483,gdb_1491,[H]C#CC(=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1484,gdb_1492,[H]C([H])([H])C([H])([H])C([H])([H])C(=O)C#N,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1485,gdb_1493,[H]/N=C(\C#N)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1486,gdb_1494,[H]C#CC(=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1487,gdb_1495,[H]C#CC([N-][H])OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1488,gdb_1496,[H][N-]C(C#N)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1489,gdb_1497,[H]C#CC(=O)OC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1490,gdb_1498,[H]C([H])([H])C([H])([H])OC(=O)C#N,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1491,gdb_1499,[H]N(C([H])([H])[H])C([H])([H])C(=O)C#N,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1492,gdb_1500,[H]C#CC(=O)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1493,gdb_1501,[H]C([H])([H])OC([H])([H])C(=O)C#N,Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
1494,gdb_1502,[H]C#CC(=O)C([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1495,gdb_1503,[H]OC([H])([H])C([H])([H])C(=O)C#N,C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1496,gdb_1504,[H]C(=O)C(=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1497,gdb_1505,[H]/N=C(\C([H])=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1498,gdb_1506,[H]C(=O)C(=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1499,gdb_1507,[H][N-]C(OC([H])([H])C([H])([H])[H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1500,gdb_1508,[H]C(=O)C(=O)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1501,gdb_1509,[H]C(=O)C(=O)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1502,gdb_1510,[H]OC([H])([H])C([H])([H])C(=O)C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1503,gdb_1511,[H]OC([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1504,gdb_1512,[H]C([H])([H])OC([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1505,gdb_1513,[H]C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1506,gdb_1514,[H]OC([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1507,gdb_1515,[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1508,gdb_1516,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1509,gdb_1517,[H]N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1510,gdb_1518,[H]OC([H])([H])C(=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1511,gdb_1519,[H]N(C(=O)N([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1512,gdb_1520,[H]N(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1513,gdb_1521,[H][N-]C(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1514,gdb_1522,[H][N-]C(OC([H])([H])C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1515,gdb_1523,[H][N-]C(OC([H])([H])[H])OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1516,gdb_1524,[H]C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1517,gdb_1525,[H]N([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1518,gdb_1526,[H]OC([H])([H])C(=O)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1519,gdb_1527,[H]N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1520,gdb_1528,[H]OC([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1521,gdb_1529,[H]N(C(=O)C([H])([H])OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1522,gdb_1530,[H]N(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1523,gdb_1531,[H][N-]C(OC([H])([H])[H])C([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1524,gdb_1532,[H]OC([H])([H])C([H])([H])C(=O)OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1525,gdb_1533,[H][N-]C(OC([H])([H])[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1526,gdb_1534,[H]OC([H])([H])C(=O)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1527,gdb_1535,[H]C([H])([H])OC(=O)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1528,gdb_1536,[H]OC([H])([H])C(=O)C([H])([H])C([H])([H])O[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
1529,gdb_1537,[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1530,gdb_1538,[H]OC([H])([H])C([H])([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1531,gdb_1539,[H]C#C[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1532,gdb_1540,[H]C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1533,gdb_1541,[H]N([H])[C@@]([H])(C#N)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1534,gdb_1542,[H]C#C[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1535,gdb_1543,[H]O[C@@]([H])(C#N)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1536,gdb_1544,[H]N(C([H])([H])C([H])([H])[H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1537,gdb_1545,[H]C#C[C@@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1538,gdb_1546,[H]C([H])([H])C([H])([H])O[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1539,gdb_1547,[H]O[C@@]([H])(C#N)C([H])([H])N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1540,gdb_1548,[H]C#C[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1541,gdb_1549,[H]C([H])([H])OC([H])([H])[C@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1542,gdb_1550,[H]N([H])[C@@]([H])(C#N)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1543,gdb_1551,[H]C#C[C@]([H])(O[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1544,gdb_1552,[H]O[C@@]([H])(C#N)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1545,gdb_1553,[H]OC([H])([H])C([H])([H])[C@@]([H])(C#N)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1546,gdb_1554,[H]C#C[C@]([H])(O[H])C([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1547,gdb_1555,[H]OC([H])([H])C([H])([H])[C@]([H])(C#N)O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1548,gdb_1556,[H]OC([H])([H])C([H])([H])[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1549,gdb_1557,[H]C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1550,gdb_1558,[H]O[C@@]([H])(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1551,gdb_1559,[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1552,gdb_1560,[H]C(=O)[C@@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1553,gdb_1561,[H]OC([H])([H])C([H])([H])N(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1554,gdb_1562,[H]C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.0,assembly_theory_exact,True
1555,gdb_1563,[H]O[C@@]([H])(C([H])=O)C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1556,gdb_1564,[H]OC([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1557,gdb_1565,[H]OC([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1558,gdb_1566,[H]OC([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1559,gdb_1567,[H]C([H])([H])OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1560,gdb_1568,[H]OC([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1561,gdb_1569,[H]O[C@@]([H])(C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1562,gdb_1570,[H]C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1563,gdb_1571,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1564,gdb_1572,[H]C([H])([H])O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1565,gdb_1573,[H]O[C@@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1566,gdb_1574,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1567,gdb_1575,[H]C([H])([H])C([H])([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1568,gdb_1576,[H]OC([H])([H])[C@@]([H])(OC([H])([H])C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1569,gdb_1577,[H]OC([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1570,gdb_1578,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1571,gdb_1579,[H]C([H])([H])OC([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
1572,gdb_1580,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
1573,gdb_1581,[H]OC([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
